,Track,Artist,Year,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,Duration_min,Popularity_bin,Decade,Cluster
0,Hey Jack Kerouac,"10,000 Maniacs",1987,4,0.616,0.511,6,-15.894,1,0.0279,0.0384,0.0,0.15,0.604,132.015,40,Alt. Rock,3.4402166666666667,Medium,1980,0
1,Like the Weather,"10,000 Maniacs",1987,4,0.77,0.459,1,-17.453,1,0.0416,0.112,0.00343,0.145,0.963,133.351,43,Alt. Rock,3.9442166666666667,Medium,1980,0
2,What's the Matter Here?,"10,000 Maniacs",1987,4,0.593,0.816,9,-7.293,1,0.041,0.00449,3.17e-05,0.0896,0.519,99.978,12,Alt. Rock,4.852883333333334,Low,1980,0
3,Trouble Me,"10,000 Maniacs",1989,4,0.861,0.385,2,-10.057,1,0.0341,0.154,0.0,0.123,0.494,117.913,47,Alt. Rock,3.226,High,1980,0
4,Candy Everybody Wants,"10,000 Maniacs",1992,4,0.622,0.876,10,-6.31,1,0.0305,0.0193,0.00684,0.0987,0.867,104.97,43,Alt. Rock,3.0993333333333335,Medium,1990,0
5,More Than This,"10,000 Maniacs",1992,4,0.623,0.773,6,-8.8,1,0.0271,0.0155,0.00573,0.0917,0.807,124.644,46,Alt. Rock,4.092883333333333,High,1990,0
6,These Are Days,"10,000 Maniacs",1992,4,0.611,0.833,3,-7.554,1,0.0351,0.0218,0.000204,0.0923,0.793,108.498,52,Alt. Rock,3.6648833333333335,High,1990,0
7,Verdi Cries,"10,000 Maniacs",1992,4,0.367,0.0256,3,-25.309,1,0.0421,0.917,7.39e-05,0.0843,0.178,106.872,34,Alt. Rock,4.33755,Medium,1990,2
8,Because the Night - Live Unplugged,"10,000 Maniacs",1993,4,0.408,0.79,11,-8.138,0,0.103,0.26,0.00027,0.765,0.347,122.624,56,Alt. Rock,3.7228833333333333,High,1990,3
9,Be Like That,3 Doors Down,2000,4,0.487,0.702,7,-6.043,1,0.0238,0.00528,4.97e-06,0.129,0.306,95.982,61,Alt. Rock,4.431766666666666,Very High,2000,3
10,Duck And Run,3 Doors Down,2000,4,0.524,0.919,4,-5.505,0,0.0436,0.0149,7.05e-05,0.131,0.848,87.931,48,Alt. Rock,3.8433333333333333,High,2000,0
11,Kryptonite,3 Doors Down,2000,4,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.005,80,Alt. Rock,3.8988833333333335,Very High,2000,3
12,Loser,3 Doors Down,2000,4,0.493,0.88,6,-6.424,0,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,61,Alt. Rock,4.413333333333333,Very High,2000,3
13,One Light,3 Doors Down,2000,4,0.372,0.976,11,-3.67,1,0.0625,0.00117,0.00326,0.0597,0.433,170.087,38,Alt. Rock,2.9391,Medium,2000,3
14,Here Without You,3 Doors Down,2003,4,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,76,Alt. Rock,3.9788833333333335,Very High,2000,3
15,When I'm Gone,3 Doors Down,2005,4,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095,72,Alt. Rock,4.338883333333333,Very High,2000,3
16,It's Not My Time,3 Doors Down,2008,4,0.532,0.935,0,-4.798,1,0.0619,0.00133,8.37e-06,0.106,0.309,128.025,63,Alt. Rock,4.032666666666667,Very High,2000,3
17,Let Me Go,3 Doors Down,2008,4,0.48,0.863,1,-4.914,0,0.0385,0.0181,0.0,0.111,0.491,91.972,55,Alt. Rock,4.050883333333333,High,2000,3
18,Man in the Box,Alice In Chains,1990,4,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,77,Alt. Rock,4.753333333333333,Very High,1990,3
19,Angry Chair (2022 Remaster),Alice In Chains,1992,4,0.329,0.943,8,-5.742,1,0.0913,0.0406,0.0,0.0548,0.157,107.422,53,Alt. Rock,4.796666666666667,High,1990,3
20,Down In A Hole (2022 Remaster),Alice In Chains,1992,4,0.356,0.818,6,-5.343,1,0.0335,0.0122,0.000118,0.123,0.389,97.528,66,Alt. Rock,5.6371,Very High,1990,3
21,Rooster (2022 Remaster),Alice In Chains,1992,3,0.263,0.562,3,-7.858,1,0.0273,0.0289,0.00118,0.12,0.213,146.08,72,Alt. Rock,6.238883333333333,Very High,1990,3
22,Them Bones (2022 Remaster),Alice In Chains,1992,1,0.16,0.954,9,-5.179,1,0.0685,0.023,4.01e-06,0.372,0.336,165.223,70,Alt. Rock,2.4911,Very High,1990,3
23,Would? (2022 Remaster),Alice In Chains,1992,4,0.297,0.842,6,-7.457,1,0.0488,0.000286,9.1e-06,0.0848,0.586,100.127,75,Alt. Rock,3.4462166666666665,Very High,1990,3
24,I Stay Away,Alice In Chains,1994,4,0.174,0.781,6,-7.066,1,0.0406,0.0452,0.00346,0.0822,0.276,81.37,62,Alt. Rock,4.24,Very High,1990,3
25,No Excuses,Alice In Chains,1994,4,0.527,0.838,3,-6.013,1,0.0323,0.0206,0.00062,0.07,0.721,117.454,64,Alt. Rock,4.25955,Very High,1990,0
26,Nutshell,Alice In Chains,1994,3,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,72,Alt. Rock,4.32,Very High,1990,2
27,Heaven Beside You,Alice In Chains,1996,4,0.551,0.724,10,-7.09,0,0.032,0.00451,0.000167,0.116,0.559,111.243,61,Alt. Rock,5.464883333333334,Very High,1990,0
28,Brass Monkey,Beastie Boys,1986,4,0.914,0.586,6,-8.435,0,0.33,0.00203,1.58e-06,0.0992,0.655,116.371,66,Alt. Rock,2.624,Very High,1980,1
29,Fight For Your Right,Beastie Boys,1986,5,0.503,0.858,8,-6.296,1,0.0657,0.00757,0.00234,0.0803,0.419,133.615,69,Alt. Rock,3.47755,Very High,1980,3
30,No Sleep Till Brooklyn,Beastie Boys,1986,4,0.712,0.691,8,-8.157,1,0.128,0.122,0.0,0.0538,0.742,97.022,70,Alt. Rock,4.11555,Very High,1980,0
31,Paul Revere,Beastie Boys,1986,4,0.883,0.553,6,-13.232,0,0.944,0.0161,0.0,0.228,0.578,91.753,57,Alt. Rock,3.6806666666666668,High,1980,1
32,Hey Ladies,Beastie Boys,1989,4,0.949,0.728,1,-10.653,1,0.211,0.286,0.0,0.0465,0.795,101.718,51,Alt. Rock,3.7962166666666666,High,1980,1
33,Shake Your Rump,Beastie Boys,1989,4,0.888,0.699,1,-10.425,1,0.164,0.0159,0.000306,0.111,0.697,103.066,56,Alt. Rock,3.3042166666666666,High,1980,0
34,Sabotage,Beastie Boys,1994,4,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,74,Alt. Rock,2.974,Very High,1990,3
35,Sure Shot,Beastie Boys,1994,4,0.692,0.799,1,-7.924,1,0.164,0.388,0.0,0.301,0.549,97.978,58,Alt. Rock,3.3277666666666668,High,1990,1
36,Intergalactic,Beastie Boys,1998,4,0.731,0.881,2,-6.504,1,0.281,0.0105,6.31e-05,0.0628,0.361,105.971,52,Alt. Rock,3.5017666666666667,High,1990,1
37,Loser,Beck,1994,4,0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,70,Alt. Rock,3.9166666666666665,Very High,1990,0
38,Devils Haircut,Beck,1996,4,0.684,0.771,7,-4.734,1,0.0283,0.133,0.00112,0.169,0.797,123.22,53,Alt. Rock,3.2573333333333334,High,1990,0
39,Jack-Ass,Beck,1996,4,0.714,0.555,2,-6.664,1,0.0287,0.163,0.0,0.0942,0.831,106.516,35,Alt. Rock,4.204666666666666,Medium,1990,0
40,The New Pollution,Beck,1996,4,0.671,0.769,1,-6.529,1,0.0268,0.0287,0.00988,0.32,0.89,131.788,43,Alt. Rock,3.6664333333333334,Medium,1990,0
41,Where It's At,Beck,1996,4,0.68,0.671,2,-7.142,1,0.0536,0.169,0.0286,0.076,0.532,96.941,43,Alt. Rock,5.515766666666667,Medium,1990,0
42,Hell Yes,Beck,1999,4,0.794,0.72,8,-7.4,1,0.35,0.0818,0.0143,0.0846,0.781,193.958,35,Alt. Rock,3.2984333333333336,Medium,1990,1
43,Sexx Laws,Beck,1999,4,0.646,0.914,4,-4.071,1,0.0448,0.015,1.32e-05,0.102,0.849,134.035,45,Alt. Rock,3.654,High,1990,0
44,E-Pro,Beck,2005,4,0.624,0.959,11,-6.253,0,0.0769,0.00133,0.171,0.101,0.69,95.794,57,Alt. Rock,3.3726666666666665,High,2000,0
45,Gamma Ray,Beck,2005,4,0.603,0.909,11,-4.213,0,0.0385,0.109,0.249,0.329,0.7,168.116,62,Alt. Rock,2.9486666666666665,Very High,2000,3
46,No Rain,Blind Melon,1992,4,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,73,Alt. Rock,3.6184333333333334,Very High,1990,2
47,Change,Blind Melon,1995,4,0.433,0.46,2,-10.441,1,0.0343,0.606,4.36e-05,0.175,0.536,77.525,60,Alt. Rock,3.697766666666667,Very High,1990,2
48,Adam's Song,blink-182,1999,4,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.383,136.02,73,Alt. Rock,4.160433333333334,Very High,1990,3
49,All The Small Things,blink-182,1999,4,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.685,148.708,83,Alt. Rock,2.7844333333333333,Very High,1990,3
50,What's My Age Again?,blink-182,1999,4,0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,80,Alt. Rock,2.4726666666666666,Very High,1990,3
51,Man Overboard,blink-182,2000,4,0.218,0.921,7,-4.414,1,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,60,Alt. Rock,2.7788833333333334,Very High,2000,3
52,Don't Leave Me,blink-182,2001,4,0.338,0.94,9,-7.094,1,0.0906,0.00862,4.5e-06,0.304,0.245,145.538,55,Alt. Rock,2.3928833333333333,High,2000,3
53,Stay Together For The Kids,blink-182,2001,4,0.52,0.78,2,-4.944,1,0.0356,0.00165,2.16e-05,0.156,0.166,145.12,65,Alt. Rock,3.9888833333333333,Very High,2000,3
54,The Rock Show,blink-182,2001,4,0.409,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.144,69,Alt. Rock,2.86,Very High,2000,3
55,Feeling This,blink-182,2003,4,0.411,0.962,4,-5.952,1,0.0917,0.103,0.0,0.529,0.622,173.143,70,Alt. Rock,2.8774166666666665,Very High,2000,3
56,First Date,blink-182,2003,4,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594,74,Alt. Rock,2.8588833333333334,Very High,2000,0
57,I Miss You,blink-182,2004,4,0.655,0.781,11,-6.547,1,0.034,0.00103,5.33e-06,0.0867,0.584,110.024,76,Alt. Rock,3.787333333333333,Very High,2000,0
58,For Tomorrow - 2012 Remaster,Blur,1993,4,0.631,0.84,2,-6.025,1,0.0285,0.0143,0.0,0.0712,0.653,95.849,43,Alt. Rock,4.354,Medium,1990,0
59,End of a Century - 2012 Remaster,Blur,1994,4,0.446,0.686,7,-7.348,1,0.0303,0.211,0.0,0.205,0.493,80.572,46,Alt. Rock,2.764,High,1990,3
60,Girls & Boys,Blur,1994,4,0.693,0.875,7,-8.354,0,0.0315,0.00986,0.0,0.0601,0.899,120.048,68,Alt. Rock,4.323083333333333,Very High,1990,0
61,Parklife,Blur,1994,4,0.632,0.877,4,-6.905,1,0.0606,0.154,0.0,0.328,0.749,138.391,56,Alt. Rock,3.1173333333333333,High,1990,0
62,This Is a Low - 2012 Remaster,Blur,1994,4,0.271,0.5,9,-8.661,1,0.0325,0.211,0.00156,0.111,0.32,170.06,39,Alt. Rock,5.281766666666667,Medium,1990,3
63,Country House,Blur,1995,4,0.341,0.895,9,-6.66,1,0.076,0.147,0.0,0.0741,0.677,174.987,51,Alt. Rock,3.9622166666666665,High,1990,3
64,Beetlebum,Blur,1997,4,0.487,0.648,0,-5.14,1,0.0278,0.0351,0.000201,0.266,0.704,89.573,46,Alt. Rock,5.085766666666666,High,1990,0
65,Song 2,Blur,1997,4,0.658,0.709,8,-6.736,1,0.0904,0.00188,0.00447,0.0657,0.855,129.701,67,Alt. Rock,2.0313333333333334,Very High,1990,0
66,Coffee & TV,Blur,1999,4,0.743,0.742,2,-10.117,1,0.0367,0.051,0.234,0.0987,0.706,121.604,62,Alt. Rock,5.97955,Very High,1990,0
67,Tender,Blur,1999,4,0.587,0.566,9,-9.932,1,0.0276,0.469,0.0,0.0644,0.528,76.055,58,Alt. Rock,7.6991,High,1990,2
68,Frank Sinatra,CAKE,1996,4,0.675,0.511,7,-9.208,1,0.0415,0.175,0.0261,0.183,0.569,114.201,51,Alt. Rock,4.0171,High,1990,0
69,I Will Survive,CAKE,1996,4,0.501,0.689,4,-7.952,0,0.0318,0.306,0.000169,0.133,0.873,95.758,61,Alt. Rock,5.1722166666666665,Very High,1990,0
70,Jolene,CAKE,1996,4,0.498,0.576,8,-9.853,0,0.0411,0.305,1.73e-05,0.544,0.847,94.232,40,Alt. Rock,5.32,Medium,1990,0
